name;elevation;latitude;longitude;continent;country;range
Eagles Rest Mountain;3431;43.898624;-110.759206;North America;United States;Teton Range - Yellowstone Area
Lone Peak;3430;40.5267;-111.755;North America;United States;Wasatch Range
Mount Hood;3426;45.373403;-121.695642;North America;United States;Cascade Range
Deltaform;3424;51.301428;-116.245737;North America;Canada;Canadian Rockies
Mount Lefroy;3420;51.36176;-116.278439;North America;Canada;Canadian Rockies
Echo Peak;3418;44.942144;-111.462789;North America;United States;Teton Range - Yellowstone Area
Crazy Peak;3418;46.0181;-110.276;North America;United States;Central Montana Rockies
Mount Sir Douglas;3411;50.7222;-115.339;North America;Canada;Canadian Rockies
Mount Delphine;3406;50.465;-116.453;North America;Canada;Southwest Basins and Ranges
Mount Woolley;3405;52.297142;-117.426167;North America;Canada;Canadian Rockies
Little Tahoma;3395;46.849553;-121.712317;North America;United States;Cascade Range
Mount Hector;3394;51.575576;-116.258526;North America;Canada;Canadian Rockies
Box Elder Peak;3384;41.6356;-112.015;North America;United States;Wasatch Range
Commander Mountain;3371;50.415;-116.558;North America;Canada;Southwest Basins and Ranges
Diadem Peak;3371;52.310315;-117.422132;North America;Canada;Canadian Rockies
Volcan Siete Orejas;3370;14.8;-91.58333;North America;Guatemala;Guatemala Ranges
Mammoth Mountain;3369;37.631;-119.032;North America;United States;Sierra Nevada
Telescope Peak;3368;36.1667;-117.083;North America;United States;Great Basin Ranges
Superior Peak;3365;40.591656;-111.671055;North America;United States;Wasatch Range
Mount Edith Cavell;3363;52.667378;-118.056507;North America;Canada;Canadian Rockies
Deseret Peak;3362;40.4597;-112.626;North America;United States;
Gallatin Peak;3357;45.3683;111.365;North America;United States;
Electric Peak;3350;45.0053;-110.837;North America;United States;Teton Range - Yellowstone Area
Mount Saskatchewan;3342;52.099256;-117.091556;North America;Canada;Canadian Rockies
Mount Murchison;3333;51.93347;-116.674805;North America;Canada;Canadian Rockies
Rendezvous Peak;3331;43.567292;-110.904857;North America;United States;Teton Range - Yellowstone Area
Mount Cromwell;3330;52.268788;-117.393551;North America;Canada;Canadian Rockies
Amery;3329;52.037498;-116.982036;North America;Canada;Canadian Rockies
Escudilla Mountain;3326;33.955357;-109.125438;North America;United States;
Carson Peak;3325;37.75;-119.117;North America;United States;Sierra Nevada
Black Mountain;3320;36.449474;-105.082385;North America;United States;
Sunwapta Peak;3315;52.349497;-117.275276;North America;Canada;Canadian Rockies
Mount Ball;3311;51.1569;-116.008;North America;Canada;Canadian Rockies
Mount Allen;3310;51.2908;-116.22;North America;Canada;Canadian Rockies
Sleepy Cat Peak;3306;40.128;-107.533;North America;United States;Flat Tops Area
Iddings Peak;3305;46.0136;-110.316;North America;United States;Central Montana Rockies
Anderson Peak;3304;34.124524;-116.894488;North America;United States;Central and Southern California Ranges
Mount Sir Donald;3297;51.26315;-117.43183;North America;Canada;Canadian Rockies
Howse Peak;3295;51.8133;-116.682;North America;Canada;Canadian Rockies
Mount San Jacinto Peak;3293;33.8144;-116.678;North America;United States;Central and Southern California Ranges
Mount Wolverine;3290;40.5853;-111.603;North America;United States;Wasatch Range
Mount Baker;3284;48.776895;-121.814532;North America;United States;Cascade Range
White Pyramid;3275;51.835778;-116.695232;North America;Canada;Canadian Rockies
Mount Chephren;3274;51.840126;-116.681671;North America;Canada;Canadian Rockies
Mount Balfour;3272;51.565333;-116.466064;North America;Canada;Canadian Rockies
The Lieutenants;3272;50.4167;-116.593;North America;Canada;Southwest Basins and Ranges
Cirrus Mountain;3270;52.1694;-116.9775;North America;Canada;Canadian Rockies
